t,ax,ay,az,gx,gy,gz,lat,lon,speed,course,hacc,truth_lat,truth_lon,truth_speed,truth_course
0,-0.0669,-0.0755,10.025,0.0238,-0.0179,0.0119,52.402447,-1.505476,0.65,60.46,4,52.4024139,-1.5053732,2.805555556,164.818
0.1,0.1852,-0.0701,9.641,-0.0523,-0.0165,0.0252,,,,,,52.4024115,-1.5053722,2.822222222,163.429
0.199,-0.022,-0.2213,9.7847,-0.0722,-0.0131,0.0154,,,,,,52.402409,-1.5053712,2.822222222,164.236
0.3,0.0632,-0.3166,9.7721,-0.033,0.0014,-0.0009,,,,,,52.4024067,-1.5053701,2.847222222,163.689
0.4,-0.0858,0.0035,9.8576,-0.0508,-0.0134,0.003,,,,,,52.4024041,-1.505369,2.858333333,162.871
0.499,0.0725,-0.3038,9.864,-0.0514,0.0052,-0.028,,,,,,52.4024016,-1.5053681,2.905555556,163.99
0.6,0.5031,-0.2162,9.2268,-0.0672,-0.0315,-0.0001,,,,,,52.402399,-1.5053671,2.936111111,164.189
0.7,0.1857,-0.1491,9.2301,-0.1056,-0.0075,-0.0152,,,,,,52.4023964,-1.5053662,2.969444444,164.116
0.8,0.0759,-0.0798,9.9545,-0.0591,0.0024,0.0076,,,,,,52.4023937,-1.5053652,3.022222222,165.095
0.902,0.1771,0.1692,10.2454,-0.0747,0.0121,0.0068,,,,,,52.4023911,-1.5053641,3.058333333,164.452
0.999,-0.4773,0.6444,11.5728,0.04,-0.0206,-0.0175,,,,,,52.4023883,-1.505363,3.111111111,164.663
1.1,-0.2575,0.2196,11.0519,0.0685,0.0001,-0.0285,,,,,,52.4023857,-1.5053619,3.186111111,164.225
1.2,0.0952,0.1717,9.9622,0.1249,-0.0212,0.0153,,,,,,52.4023832,-1.5053611,3.211111111,165.222
1.3,-0.1553,0.0508,9.4662,0.0993,0.0082,-0.0357,,,,,,52.4023806,-1.5053601,3.208333333,164.595
1.399,0.453,-0.4709,9.0752,0.128,0.0268,-0.0261,,,,,,52.4023779,-1.5053591,3.244444444,165.191
